Make,Model,Condition,Price,Year,Body_Type,Fuel_Type,Enginer_Size,Fuel_Consumption,Acceleration,GearBox,DriveTrain,CO2_Emissions,Doors,Seats,Annual_Tax
AUDI,S5,Nearly New,41139,2016,Coupe,Petrol,3.0L,36.7 mpg,4.5,Automatic,quattro,174,3 doors,4 seats,140
AUDI,S5,Nearly New,40000,2016,Convertible,Petrol,3.0L,35.3 mpg,4.9,Automatic,quattro,181,2 doors,4 seats,140
AUDI,S5,Nearly New,40000,2016,Coupe,Petrol,3.0L,36.7 mpg,4.5,Automatic,quattro,174,3 doors,4 seats,140
AUDI,S5,Nearly New,42995,2016,Hatchback,Petrol,3.0L,36.7 mpg,4.5,Automatic,quattro,174,5 doors,4 seats,140
AUDI,S5,Nearly New,48995,2016,Coupe,Petrol,3.0L,36.7 mpg,4.5,Automatic,quattro,174,3 doors,4 seats,140
AUDI,S5,Nearly New,42000,2016,Coupe,Petrol,3.0L,36.7 mpg,4.5,Automatic,quattro,174,3 doors,4 seats,140
AUDI,S5,New,49999,2016,Coupe,Petrol,3.0L,36.7 mpg,4.5,Automatic,quattro,,3 doors,4 seats,
AUDI,S5,Nearly New,46000,2016,Convertible,Petrol,3.0L,35.3 mpg,4.9,Automatic,quattro,181,2 doors,4 seats,140
AUDI,S5,New,48955,2016,Hatchback,Petrol,3.0L,36.7 mpg,4.5,Automatic,quattro,,5 doors,4 seats,
AUDI,S5,Used,21000,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,24995,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,21480,2012,Coupe,Petrol,3.0L,35.8 mpg,4.9,Automatic,quattro,184,3 doors,4 seats,250
AUDI,S5,Used,21000,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,22500,2009,Convertible,Petrol,3.0L,33.2 mpg,5.4,Automatic,quattro,199,2 doors,4 seats,250
AUDI,S5,Used,22495,2015,Coupe,Petrol,3.0L,,,Automatic,,178,2 doors,4 seats,250
AUDI,S5,Used,25000,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,27500,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,27000,2014,Convertible,Petrol,3.0L,34.9 mpg,5.4,Automatic,quattro,189,2 doors,4 seats,290
AUDI,S5,Used,27500,2012,Coupe,Petrol,3.0L,35.8 mpg,4.9,Automatic,quattro,184,3 doors,4 seats,250
AUDI,S5,Used,21000,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,23495,2012,Coupe,Petrol,3.0L,35.8 mpg,4.9,Automatic,quattro,184,3 doors,4 seats,250
AUDI,S5,Used,21000,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,21000,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,22995,2009,Convertible,Petrol,3.0L,33.2 mpg,5.4,Automatic,quattro,199,2 doors,4 seats,
AUDI,S5,Used,22995,2012,Coupe,Petrol,3.0L,35.8 mpg,4.9,Automatic,quattro,184,3 doors,4 seats,250
AUDI,S5,Used,22975,2011,Hatchback,Petrol,3.0L,34.9 mpg,5.1,Automatic,quattro,190,5 doors,4 seats,290
AUDI,S5,Used,24000,2011,Hatchback,Petrol,3.0L,36.7 mpg,5.1,Automatic,quattro,179,5 doors,4 seats,250
AUDI,S5,Used,22995,2012,Coupe,Petrol,3.0L,34.9 mpg,4.9,Automatic,quattro,190,3 doors,4 seats,290
AUDI,S5,Used,24995,2011,Hatchback,Petrol,3.0L,35.8 mpg,5.1,Automatic,quattro,184,5 doors,4 seats,250
AUDI,S5,Used,22750,2012,Coupe,Petrol,3.0L,35.8 mpg,4.9,Automatic,quattro,184,3 doors,4 seats,250
