Make,Model,Condition,Price,Year,Body_Type,Fuel_Type,Enginer_Size,Fuel_Consumption,Acceleration,GearBox,DriveTrain,CO2_Emissions,Doors,Seats,Annual_Tax,Ad_Link
AUDI,TTS,Used,28980,2014,Coupe,Petrol,2.0L,38.7 mpg,4.9,Manual,quattro,168,2 doors,4 seats,230,https://www.autotrader.co.uk/classified/advert/201902235233105
AUDI,TTS,Used,28000,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201901294386316
AUDI,TTS,Used,23950,2015,Coupe,Petrol,2.0L,,,Manual,,,2 doors,,,https://www.autotrader.co.uk/classified/advert/201811092283809
AUDI,TTS,Used,27950,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201811292851562
AUDI,TTS,Used,27750,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902044601088
AUDI,TTS,Used,18600,2008,Coupe,Petrol,2.0L,35.8 mpg,5.5,Manual,quattro,184,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201903035503021
AUDI,TTS,Used,28000,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201902094761524
AUDI,TTS,Used,28000,2014,Convertible,Petrol,2.0L,39.8 mpg,4.9,Automatic,quattro,163,2 doors,4 seats,195,https://www.autotrader.co.uk/classified/advert/201808299952473
AUDI,TTS,Used,18950,2008,Coupe,Petrol,2.0L,36.7 mpg,5.3,Automatic,quattro,179,3 doors,4 seats,250,https://www.autotrader.co.uk/classified/advert/201902265303903
AUDI,TTS,Used,24194,2014,Convertible,Petrol,2.0L,38.7 mpg,5.2,Manual,quattro,169,2 doors,2 seats,230,https://www.autotrader.co.uk/classified/advert/201901234230597
AUDI,TTS,Used,18495,2008,Convertible,Petrol,2.0L,35.8 mpg,5.5,Automatic,quattro,184,2 doors,2 seats,250,https://www.autotrader.co.uk/classified/advert/201807068182111
AUDI,TTS,Used,24495,2014,Coupe,Petrol,2.0L,40.9 mpg,4.6,Automatic,quattro,159,3 doors,4 seats,,https://www.autotrader.co.uk/classified/advert/201902245252571
